,index,mechanism,action,drugA,drugB
166206,166206,The risk or severity of hyperkalemia,increase,Flurbiprofen,Cilnidipine
166213,166213,The therapeutic efficacy,decrease,Methyldopa,Flurbiprofen
166214,166214,The therapeutic efficacy,decrease,Guanfacine,Flurbiprofen
166217,166217,The therapeutic efficacy,decrease,Diazoxide,Flurbiprofen
166218,166218,The therapeutic efficacy,decrease,Bepridil,Flurbiprofen
166220,166220,The therapeutic efficacy,decrease,Debrisoquine,Flurbiprofen
166223,166223,The therapeutic efficacy,decrease,Ambrisentan,Flurbiprofen
166226,166226,The therapeutic efficacy,decrease,Macitentan,Flurbiprofen
166227,166227,The therapeutic efficacy,decrease,Efonidipine,Flurbiprofen
166235,166235,The protein binding,decrease,Glyburide,Flurbiprofen
166236,166236,The protein binding,decrease,Gliclazide,Flurbiprofen
166241,166241,The risk or severity of adverse effects,increase,Flurbiprofen,Bromfenac
166242,166242,The risk or severity of adverse effects,increase,Flurbiprofen,Etodolac
166244,166244,The risk or severity of adverse effects,increase,Flurbiprofen,Naproxen
166246,166246,The risk or severity of adverse effects,increase,Flurbiprofen,Meloxicam
166249,166249,The risk or severity of adverse effects,increase,Flurbiprofen,Ketoprofen
166250,166250,The risk or severity of adverse effects,increase,Flurbiprofen,Ibuprofen
166251,166251,The risk or severity of adverse effects,increase,Flurbiprofen,Lumiracoxib
166253,166253,The risk or severity of adverse effects,increase,Flurbiprofen,Etoricoxib
166257,166257,The risk or severity of adverse effects,increase,Flurbiprofen,Lornoxicam
166258,166258,The risk or severity of adverse effects,increase,Flurbiprofen,Aceclofenac
166265,166265,The risk or severity of adverse effects,increase,Flurbiprofen,Morniflumate
166270,166270,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Nateglinide
166273,166273,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Methimazole
166278,166278,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Diazepam
166280,166280,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Dobutamine
166282,166282,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Dacarbazine
166286,166286,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Amantadine
166287,166287,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Almotriptan
166288,166288,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Azacitidine
166289,166289,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Maprotiline
166290,166290,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Isoniazid
166294,166294,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Dopamine
166295,166295,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Azathioprine
166297,166297,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Levobupivacaine
166298,166298,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Metyrapone
166302,166302,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Memantine
166303,166303,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Lubiprostone
166305,166305,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Clonazepam
166308,166308,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Doxacurium
166309,166309,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Levofloxacin
166310,166310,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Bupropion
166313,166313,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Ifosfamide
166314,166314,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Ceftriaxone
166315,166315,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Fomepizole
166316,166316,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Estazolam
166317,166317,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Ketamine
166319,166319,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Metoclopramide
166325,166325,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Colchicine
166327,166327,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Bromazepam
166333,166333,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Lorcaserin
166334,166334,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Clevidipine
166335,166335,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Brivaracetam
166337,166337,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Alogliptin
166339,166339,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Nalmefene
166340,166340,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Droxidopa
166341,166341,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Levocetirizine
166346,166346,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Methyltestosterone
166348,166348,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Mirabegron
166350,166350,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Enzalutamide
166351,166351,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Canagliflozin
166360,166360,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Dienogest
166364,166364,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Blonanserin
166377,166377,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Baricitinib
166378,166378,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Apalutamide
166380,166380,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Deutetrabenazine
166387,166387,the excretion rate which could result in a higher serum level,decrease,Cefazolin,Flurbiprofen
166391,166391,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Doxepin
166392,166392,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Fentanyl
166393,166393,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Desipramine
166394,166394,the excretion rate which could result in a higher serum level,decrease,Flurbiprofen,Clomipramine
166401,166401,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Acetazolamide,Flurbiprofen
166402,166402,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Conivaptan,Flurbiprofen
166404,166404,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Flurbiprofen,Dapagliflozin
166407,166407,The metabolism,decrease,Estradiol,Flurbiprofen
166411,166411,The metabolism,decrease,Metronidazole,Flurbiprofen
166412,166412,The metabolism,decrease,Buprenorphine,Flurbiprofen
166413,166413,The metabolism,decrease,Fulvestrant,Flurbiprofen
166414,166414,The metabolism,decrease,Ezetimibe,Flurbiprofen
166416,166416,The metabolism,decrease,Glipizide,Flurbiprofen
166417,166417,The metabolism,decrease,Atorvastatin,Flurbiprofen
166418,166418,The metabolism,decrease,Fluvastatin,Flurbiprofen
166419,166419,The metabolism,decrease,Naloxone,Flurbiprofen
166422,166422,The metabolism,decrease,Ezogabine,Flurbiprofen
166425,166425,The metabolism,decrease,Eltrombopag,Flurbiprofen
166428,166428,The metabolism,decrease,Axitinib,Flurbiprofen
166444,166444,The metabolism,decrease,Flurbiprofen,Ketoconazole
166446,166446,The metabolism,decrease,Flurbiprofen,Flunitrazepam
166453,166453,The metabolism,decrease,Flurbiprofen,Ertugliflozin
166464,166464,The metabolism,decrease,Etoposide,Flurbiprofen
166468,166468,The metabolism,decrease,Felodipine,Flurbiprofen
166469,166469,The metabolism,decrease,Flurbiprofen,Modafinil
166473,166473,The metabolism,decrease,Flurbiprofen,Leflunomide
166474,166474,The metabolism,decrease,Flurbiprofen,Atovaquone
166475,166475,The metabolism,decrease,Flurbiprofen,Bicalutamide
166476,166476,The metabolism,decrease,Flurbiprofen,Cyclizine
166477,166477,The metabolism,decrease,Flurbiprofen,Flecainide
166485,166485,The metabolism,decrease,Flurbiprofen,Agomelatine
166486,166486,The metabolism,decrease,Flurbiprofen,Midostaurin
166491,166491,The metabolism,decrease,Flurbiprofen,Ceritinib
166492,166492,The metabolism,decrease,Flurbiprofen,Lenvatinib
166494,166494,The metabolism,decrease,Flurbiprofen,Lobeglitazone
166500,166500,The metabolism,decrease,Flurbiprofen,Fenofibrate
166507,166507,The metabolism,decrease,Donepezil,Flurbiprofen
166510,166510,The metabolism,decrease,Alosetron,Flurbiprofen
166512,166512,The metabolism,decrease,Methoxyflurane,Flurbiprofen
166515,166515,The metabolism,decrease,Melatonin,Flurbiprofen
166516,166516,The metabolism,decrease,Diphenhydramine,Flurbiprofen
166520,166520,The metabolism,decrease,Halothane,Flurbiprofen
166521,166521,The metabolism,decrease,Moclobemide,Flurbiprofen
166522,166522,The metabolism,decrease,Idarubicin,Flurbiprofen
166525,166525,The metabolism,decrease,Mestranol,Flurbiprofen
166537,166537,The metabolism,decrease,Netupitant,Flurbiprofen
166538,166538,The metabolism,decrease,Cannabidiol,Flurbiprofen
166542,166542,The metabolism,decrease,Nabiximols,Flurbiprofen
166545,166545,The metabolism,decrease,Azelastine,Flurbiprofen
166549,166549,The metabolism,decrease,Flurbiprofen,Capecitabine
166553,166553,The metabolism,decrease,Fosphenytoin,Flurbiprofen
166556,166556,The metabolism,increase,Flurbiprofen,Apremilast
166562,166562,The risk or severity of gastrointestinal irritation,increase,Ethanol,Flurbiprofen
166563,166563,The risk or severity of bleeding,increase,Flurbiprofen,Clopidogrel
166566,166566,The risk or severity of bleeding,increase,Flurbiprofen,Cilostazol
166575,166575,The risk or severity of hypotension and orthostatic hypotension,increase,Apomorphine,Levodopa
166577,166577,the central nervous system depressant ( CNS depressant ) activities,increase,Apomorphine,Buprenorphine
166578,166578,the central nervous system depressant ( CNS depressant ) activities,increase,Hydrocodone,Apomorphine
166579,166579,the central nervous system depressant ( CNS depressant ) activities,increase,Apomorphine,Methotrimeprazine
166589,166589,The serum concentration,increase,Mifepristone,Apomorphine
166590,166590,The risk or severity of adverse effects,increase,Apomorphine,Acenocoumarol
166592,166592,the central nervous system depressant ( CNS depressant ) activities,increase,Apomorphine,Ethanol
166593,166593,the central nervous system depressant ( CNS depressant ) activities,increase,Apomorphine,Azelastine
166597,166597,The risk or severity of adverse effects,increase,Apomorphine,Nefazodone
166609,166609,The therapeutic efficacy,decrease,Apomorphine,Blonanserin
166616,166616,The therapeutic efficacy,decrease,Mesoridazine,Apomorphine
166620,166620,the central nervous system depressant ( CNS depressant ) activities,increase,Apomorphine,Biperiden
166642,166642,The risk or severity of QTc prolongation,increase,Apomorphine,Loperamide
166643,166643,The risk or severity of QTc prolongation,increase,Apomorphine,Lomefloxacin
166646,166646,The risk or severity of QTc prolongation,increase,Apomorphine,Levofloxacin
166650,166650,The risk or severity of QTc prolongation,increase,Apomorphine,Acebutolol
166651,166651,The risk or severity of QTc prolongation,increase,Apomorphine,Flecainide
166659,166659,The risk or severity of QTc prolongation,increase,Apomorphine,Crizotinib
166661,166661,The risk or severity of QTc prolongation,increase,Apomorphine,Ceritinib
166662,166662,The risk or severity of QTc prolongation,increase,Apomorphine,Lenvatinib
166670,166670,The risk or severity of adverse effects,increase,Apomorphine,Conivaptan
166672,166672,The risk or severity of adverse effects,increase,Apomorphine,Bumetanide
166674,166674,The risk or severity of adverse effects,increase,Apomorphine,Levobupivacaine
166676,166676,The risk or severity of adverse effects,increase,Apomorphine,Amifostine
166678,166678,The risk or severity of adverse effects,increase,Apomorphine,Clevidipine
166679,166679,The risk or severity of adverse effects,increase,Apomorphine,Dapagliflozin
166680,166680,The risk or severity of adverse effects,increase,Apomorphine,Canagliflozin
166684,166684,The risk or severity of adverse effects,increase,Apomorphine,Cilnidipine
166689,166689,The risk or severity of adverse effects,increase,Apomorphine,Methyldopa
166690,166690,The risk or severity of adverse effects,increase,Apomorphine,Diazoxide
166691,166691,The risk or severity of adverse effects,increase,Apomorphine,Carvedilol
166692,166692,The risk or severity of adverse effects,increase,Apomorphine,Hydralazine
166693,166693,The risk or severity of adverse effects,increase,Apomorphine,Nebivolol
166694,166694,The risk or severity of adverse effects,increase,Apomorphine,Aliskiren
166695,166695,The risk or severity of QTc prolongation,increase,Apomorphine,Cocaine
166699,166699,The risk or severity of QTc prolongation,increase,Apomorphine,Domperidone
166702,166702,The risk or severity of QTc prolongation,increase,Apomorphine,Bepridil
166706,166706,The risk or severity of QTc prolongation,increase,Apomorphine,Dronedarone
166711,166711,The risk or severity of QTc prolongation,increase,Apomorphine,Asenapine
166717,166717,The risk or severity of QTc prolongation,increase,Apomorphine,Deutetrabenazine
166721,166721,The risk or severity of adverse effects,increase,Apomorphine,Meclizine
166724,166724,The risk or severity of adverse effects,increase,Apomorphine,Isoflurane
166727,166727,The risk or severity of adverse effects,increase,Apomorphine,Alfentanil
166728,166728,The risk or severity of adverse effects,increase,Apomorphine,Minaprine
166729,166729,The risk or severity of adverse effects,increase,Apomorphine,Fentanyl
166731,166731,The risk or severity of adverse effects,increase,Apomorphine,Acetazolamide
166732,166732,The risk or severity of adverse effects,increase,Apomorphine,Diazepam
166734,166734,The risk or severity of adverse effects,increase,Apomorphine,Donepezil
166736,166736,The risk or severity of adverse effects,increase,Apomorphine,Alprenolol
166740,166740,The risk or severity of adverse effects,increase,Apomorphine,Almotriptan
166741,166741,The risk or severity of adverse effects,increase,Apomorphine,Maprotiline
166742,166742,The risk or severity of adverse effects,increase,Apomorphine,Felbamate
166743,166743,The risk or severity of adverse effects,increase,Apomorphine,Naratriptan
166748,166748,The risk or severity of adverse effects,increase,Apomorphine,Gabapentin
166749,166749,The risk or severity of adverse effects,increase,Apomorphine,Frovatriptan
166750,166750,The risk or severity of adverse effects,increase,Apomorphine,Guanfacine
166751,166751,The risk or severity of adverse effects,increase,Apomorphine,Methoxyflurane
166753,166753,The risk or severity of adverse effects,increase,Apomorphine,Melatonin
166754,166754,The risk or severity of adverse effects,increase,Apomorphine,Clonazepam
166756,166756,The risk or severity of adverse effects,increase,Apomorphine,Diphenhydramine
166758,166758,The risk or severity of adverse effects,increase,Apomorphine,Chlorpheniramine
166759,166759,The risk or severity of adverse effects,increase,Apomorphine,Doxacurium
166760,166760,The risk or severity of adverse effects,increase,Apomorphine,Doxepin
166761,166761,The risk or severity of adverse effects,increase,Apomorphine,Desipramine
166762,166762,The risk or severity of adverse effects,increase,Apomorphine,Halothane
166764,166764,The risk or severity of adverse effects,increase,Apomorphine,Moclobemide
166765,166765,The risk or severity of adverse effects,increase,Apomorphine,Cyclizine
166768,166768,The risk or severity of adverse effects,increase,Apomorphine,Estazolam
166769,166769,The risk or severity of adverse effects,increase,Apomorphine,Ketamine
166772,166772,The risk or severity of adverse effects,increase,Apomorphine,Clomipramine
166773,166773,The risk or severity of adverse effects,increase,Apomorphine,Decamethonium
166783,166783,The risk or severity of adverse effects,increase,Apomorphine,Ethylmorphine
166784,166784,The risk or severity of adverse effects,increase,Apomorphine,Flunitrazepam
166785,166785,The risk or severity of adverse effects,increase,Apomorphine,Bromazepam
166786,166786,The risk or severity of adverse effects,increase,Apomorphine,Clotiazepam
166794,166794,The risk or severity of adverse effects,increase,Apomorphine,Flunarizine
166796,166796,The risk or severity of adverse effects,increase,Apomorphine,Lorcaserin
166798,166798,The risk or severity of adverse effects,increase,Apomorphine,Ezogabine
166799,166799,The risk or severity of adverse effects,increase,Apomorphine,Methsuximide
166800,166800,The risk or severity of adverse effects,increase,Apomorphine,Brivaracetam
166801,166801,The risk or severity of adverse effects,increase,Apomorphine,Mianserin
166804,166804,The risk or severity of adverse effects,increase,Apomorphine,Levocetirizine
166808,166808,The risk or severity of adverse effects,increase,Apomorphine,Agomelatine
166834,166834,The metabolism,decrease,Irbesartan,Apomorphine
166835,166835,The metabolism,decrease,Apomorphine,Fluvastatin
166840,166840,The metabolism,decrease,Apomorphine,Abiraterone
166841,166841,The metabolism,decrease,Apomorphine,Eltrombopag
166843,166843,The metabolism,decrease,Apomorphine,Enzalutamide
166846,166846,The metabolism,decrease,Felodipine,Apomorphine
166847,166847,The metabolism,decrease,Apomorphine,Clopidogrel
166848,166848,The metabolism,decrease,Apomorphine,Gemfibrozil
166855,166855,The risk or severity of QTc prolongation,increase,Apomorphine,Azatadine
166857,166857,The risk or severity of QTc prolongation,increase,Apomorphine,Disulfiram
166861,166861,The risk or severity of QTc prolongation,increase,Apomorphine,Metronidazole
166862,166862,The risk or severity of QTc prolongation,increase,Apomorphine,Famotidine
166868,166868,The risk or severity of QTc prolongation,increase,Apomorphine,Mequitazine
166871,166871,The risk or severity of QTc prolongation,increase,Apomorphine,Cilostazol
166872,166872,The risk or severity of QTc prolongation,increase,Apomorphine,Encainide
166873,166873,The risk or severity of QTc prolongation,increase,Apomorphine,Lapatinib
166876,166876,The risk or severity of QTc prolongation,increase,Apomorphine,Digitoxin
166877,166877,The risk or severity of QTc prolongation,increase,Apomorphine,Hydroxychloroquine
166882,166882,The risk or severity of QTc prolongation,increase,Apomorphine,Mirabegron
166886,166886,The risk or severity of QTc prolongation,increase,Apomorphine,Aranidipine
166890,166890,The risk or severity of QTc prolongation,increase,Apomorphine,Indapamide
166892,166892,The risk or severity of QTc prolongation,increase,Apomorphine,Celiprolol
166894,166894,The risk or severity of QTc prolongation,increase,Apomorphine,Efonidipine
166897,166897,The risk or severity of QTc prolongation,increase,Apomorphine,Clofazimine
166898,166898,The risk or severity of adverse effects,increase,Bupropion,Apomorphine
166899,166899,The metabolism,decrease,Clarithromycin,Apomorphine
166901,166901,The metabolism,decrease,Ketoconazole,Apomorphine
166902,166902,The metabolism,decrease,Itraconazole,Apomorphine
166907,166907,The metabolism,decrease,Apomorphine,Gestodene
166913,166913,The metabolism,increase,Apomorphine,Modafinil
166914,166914,The metabolism,increase,Apomorphine,Budesonide
166915,166915,The metabolism,increase,Apomorphine,Dexamethasone
166916,166916,The metabolism,increase,Apomorphine,Icotinib
166921,166921,The metabolism,increase,Apomorphine,Midostaurin
166927,166927,The metabolism,decrease,Ambrisentan,Apomorphine
166929,166929,The metabolism,decrease,Nateglinide,Apomorphine
166930,166930,The metabolism,decrease,Glyburide,Apomorphine
166933,166933,The metabolism,decrease,Dutasteride,Apomorphine
166935,166935,The metabolism,decrease,Finasteride,Apomorphine
166941,166941,The metabolism,decrease,Axitinib,Apomorphine
166944,166944,The metabolism,decrease,Ivacaftor,Apomorphine
166945,166945,The metabolism,decrease,Ibrutinib,Apomorphine
166958,166958,The metabolism,decrease,Dasatinib,Apomorphine
166961,166961,The metabolism,decrease,Etoposide,Apomorphine
166963,166963,The metabolism,decrease,Docetaxel,Apomorphine
166965,166965,The metabolism,decrease,Apomorphine,Ketoprofen
166966,166966,The metabolism,decrease,Apomorphine,Fenofibrate
166974,166974,The metabolism,decrease,Apomorphine,Bezafibrate
166978,166978,The metabolism,decrease,Apomorphine,Colchicine
166986,166986,The metabolism,decrease,Apomorphine,Lobeglitazone
166993,166993,The metabolism,increase,Hydrocortisone,Apomorphine
166994,166994,The metabolism,increase,Ifosfamide,Apomorphine
167003,167003,The metabolism,decrease,Estradiol,Apomorphine
167004,167004,The metabolism,decrease,Atorvastatin,Apomorphine
167006,167006,The metabolism,decrease,Cabazitaxel,Apomorphine
167019,167019,The metabolism,decrease,Naproxen,Apomorphine
167022,167022,The metabolism,decrease,Ibuprofen,Apomorphine
167023,167023,The metabolism,decrease,Anastrozole,Apomorphine
167025,167025,The metabolism,decrease,Mestranol,Apomorphine
167039,167039,The metabolism,decrease,Apalutamide,Apomorphine
167044,167044,The metabolism,decrease,Amiodarone,Apomorphine
167045,167045,The metabolism,decrease,Fosphenytoin,Apomorphine
167046,167046,The metabolism,decrease,Dabrafenib,Apomorphine
167050,167050,The metabolism,decrease,Apomorphine,Methimazole
167051,167051,The metabolism,decrease,Apomorphine,Memantine
167054,167054,The metabolism,decrease,Irinotecan,Apomorphine
167059,167059,The metabolism,decrease,Methyltestosterone,Apomorphine
167063,167063,The metabolism,decrease,Apomorphine,Doxorubicin
167064,167064,The metabolism,decrease,Apomorphine,Miconazole
167068,167068,The risk or severity of adverse effects,increase,Cannabidiol,Apomorphine
167069,167069,The risk or severity of adverse effects,increase,Nabiximols,Apomorphine
167071,167071,The risk or severity of serotonin syndrome,increase,Apomorphine,Amantadine
167072,167072,The risk or severity of serotonin syndrome,increase,Apomorphine,Isoniazid
167074,167074,The risk or severity of serotonin syndrome,increase,Apomorphine,Dexfenfluramine
167076,167076,The risk or severity of serotonin syndrome,increase,Apomorphine,Dextroamphetamine
167080,167080,The metabolism,increase,Apomorphine,Apremilast
167086,167086,the hypotensive activities,increase,Apomorphine,Debrisoquine
167088,167088,the hypotensive activities,increase,Apomorphine,Macitentan
167093,167093,The risk or severity of CNS depression,increase,Apomorphine,Cyclobenzaprine
167094,167094,The risk or severity of sedation,increase,Metoclopramide,Apomorphine
167099,167099,The risk or severity of hypotension,increase,Apomorphine,Dolasetron
167100,167100,The risk or severity of hypotension,increase,Apomorphine,Granisetron
167101,167101,The risk or severity of hypotension,increase,Apomorphine,Alosetron
167439,167439,The serum concentration of the active metabolites,increase,Deutetrabenazine,Deutetrabenazine
168320,168320,the sedative and stimulatory activities,decrease,Dextroamphetamine,Azatadine
168323,168323,The risk or severity of QTc prolongation,increase,Azatadine,Dolasetron
168326,168326,The risk or severity of QTc prolongation,increase,Azatadine,Loperamide
168327,168327,The risk or severity of QTc prolongation,increase,Azatadine,Granisetron
168329,168329,The risk or severity of QTc prolongation,increase,Azatadine,Mesoridazine
168330,168330,The risk or severity of QTc prolongation,increase,Azatadine,Lomefloxacin
168332,168332,The risk or severity of QTc prolongation,increase,Azatadine,Chlorpheniramine
168334,168334,The risk or severity of QTc prolongation,increase,Azatadine,Levofloxacin
168338,168338,The risk or severity of QTc prolongation,increase,Azatadine,Acebutolol
168339,168339,The risk or severity of QTc prolongation,increase,Azatadine,Flecainide
168340,168340,The risk or severity of QTc prolongation,increase,Azatadine,Clarithromycin
168350,168350,The risk or severity of QTc prolongation,increase,Azatadine,Crizotinib
168352,168352,The risk or severity of QTc prolongation,increase,Azatadine,Ceritinib
168353,168353,The risk or severity of QTc prolongation,increase,Azatadine,Lenvatinib
168362,168362,The risk or severity of QTc prolongation,increase,Azatadine,Clomipramine
168365,168365,The risk or severity of QTc prolongation,increase,Azatadine,Mifepristone
168367,168367,The risk or severity of QTc prolongation,increase,Azatadine,Cocaine
168371,168371,The risk or severity of QTc prolongation,increase,Azatadine,Domperidone
168374,168374,The risk or severity of QTc prolongation,increase,Azatadine,Bepridil
168383,168383,The risk or severity of QTc prolongation,increase,Azatadine,Asenapine
168387,168387,The risk or severity of QTc prolongation,increase,Azatadine,Deutetrabenazine
168391,168391,The risk or severity of QTc prolongation,increase,Azatadine,Amiodarone
168392,168392,The risk or severity of QTc prolongation,increase,Azatadine,Dronedarone
168396,168396,The risk or severity of QTc prolongation,increase,Azatadine,Isoflurane
168400,168400,The risk or severity of QTc prolongation,increase,Azatadine,Amantadine
168401,168401,The risk or severity of QTc prolongation,increase,Azatadine,Metronidazole
168402,168402,The risk or severity of QTc prolongation,increase,Azatadine,Famotidine
168403,168403,The risk or severity of QTc prolongation,increase,Azatadine,Maprotiline
168410,168410,The risk or severity of QTc prolongation,increase,Azatadine,Mequitazine
168411,168411,The risk or severity of QTc prolongation,increase,Azatadine,Diphenhydramine
168412,168412,The risk or severity of QTc prolongation,increase,Azatadine,Cyclizine
168413,168413,The risk or severity of QTc prolongation,increase,Azatadine,Encainide
168414,168414,The risk or severity of QTc prolongation,increase,Azatadine,Metoclopramide
168416,168416,The risk or severity of QTc prolongation,increase,Azatadine,Methotrimeprazine
168418,168418,The risk or severity of QTc prolongation,increase,Azatadine,Celiprolol
168429,168429,The risk or severity of QTc prolongation,increase,Azatadine,Indapamide
168430,168430,The risk or severity of QTc prolongation,increase,Azatadine,Disulfiram
168435,168435,The risk or severity of QTc prolongation,increase,Azatadine,Felodipine
168436,168436,The risk or severity of QTc prolongation,increase,Azatadine,Ketoconazole
168441,168441,The risk or severity of QTc prolongation,increase,Azatadine,Doxepin
168442,168442,The risk or severity of QTc prolongation,increase,Azatadine,Desipramine
168443,168443,The risk or severity of QTc prolongation,increase,Azatadine,Cilostazol
168444,168444,The risk or severity of QTc prolongation,increase,Azatadine,Itraconazole
168447,168447,The risk or severity of QTc prolongation,increase,Azatadine,Aripiprazole
168448,168448,The risk or severity of QTc prolongation,increase,Azatadine,Dasatinib
168449,168449,The risk or severity of QTc prolongation,increase,Azatadine,Lapatinib
168452,168452,The risk or severity of QTc prolongation,increase,Azatadine,Digitoxin
168454,168454,The risk or severity of QTc prolongation,increase,Azatadine,Hydroxychloroquine
168456,168456,The risk or severity of QTc prolongation,increase,Azatadine,Levocetirizine
168459,168459,The risk or severity of QTc prolongation,increase,Azatadine,Mirabegron
168460,168460,The risk or severity of QTc prolongation,increase,Azatadine,Dabrafenib
168464,168464,The risk or severity of QTc prolongation,increase,Azatadine,Aranidipine
168465,168465,The risk or severity of QTc prolongation,increase,Azatadine,Efonidipine
168473,168473,The risk or severity of QTc prolongation,increase,Azatadine,Clofazimine
168474,168474,The therapeutic efficacy,decrease,Ezogabine,Azatadine
168475,168475,The therapeutic efficacy,decrease,Methsuximide,Azatadine
168479,168479,The therapeutic efficacy,decrease,Acetazolamide,Azatadine
168490,168490,The therapeutic efficacy,decrease,Felbamate,Azatadine
168491,168491,The therapeutic efficacy,decrease,Diazepam,Azatadine
168494,168494,The therapeutic efficacy,decrease,Gabapentin,Azatadine
168495,168495,The therapeutic efficacy,decrease,Clonazepam,Azatadine
168497,168497,The therapeutic efficacy,decrease,Estazolam,Azatadine
168498,168498,The therapeutic efficacy,decrease,Fosphenytoin,Azatadine
168501,168501,The therapeutic efficacy,decrease,Flunarizine,Azatadine
168502,168502,The therapeutic efficacy,decrease,Brivaracetam,Azatadine
168507,168507,The therapeutic efficacy,decrease,Cannabidiol,Azatadine
168509,168509,The therapeutic efficacy,increase,Droxidopa,Azatadine
168514,168514,The risk or severity of seizure,increase,Bupropion,Azatadine
170072,170072,The therapeutic efficacy,increase,Nateglinide,Lomefloxacin
170075,170075,The therapeutic efficacy,increase,Nateglinide,Levofloxacin
170081,170081,The therapeutic efficacy,decrease,Nateglinide,Indapamide
170084,170084,the hypoglycemic activities,decrease,Clomipramine,Nateglinide
170085,170085,the hypoglycemic activities,increase,Dapagliflozin,Nateglinide
170086,170086,the hypoglycemic activities,increase,Canagliflozin,Nateglinide
170095,170095,The therapeutic efficacy,decrease,Nateglinide,Aripiprazole
170098,170098,The therapeutic efficacy,decrease,Nateglinide,Mestranol
170100,170100,The therapeutic efficacy,decrease,Nateglinide,Danazol
170105,170105,The therapeutic efficacy,decrease,Nateglinide,Asenapine
170109,170109,The therapeutic efficacy,decrease,Nateglinide,Dienogest
170121,170121,The risk or severity of hypoglycemia,increase,Nateglinide,Nefazodone
170123,170123,The risk or severity of hypoglycemia,increase,Nateglinide,Bromocriptine
170126,170126,the hypoglycemic activities,increase,Balsalazide,Nateglinide
170128,170128,the hypoglycemic activities,increase,Minaprine,Nateglinide
170130,170130,The metabolism,decrease,Nateglinide,Ketoconazole
170131,170131,The metabolism,decrease,Nateglinide,Abiraterone
170150,170150,The metabolism,decrease,Desipramine,Nateglinide
170152,170152,The metabolism,decrease,Lorcaserin,Nateglinide
170153,170153,The metabolism,decrease,Mirabegron,Nateglinide
170154,170154,The metabolism,decrease,Nateglinide,Cinacalcet
170155,170155,The metabolism,decrease,Nateglinide,Bupropion
170158,170158,The metabolism,decrease,Nateglinide,Methotrimeprazine
170159,170159,The metabolism,decrease,Nateglinide,Midostaurin
170160,170160,The metabolism,decrease,Nateglinide,Mifepristone
170161,170161,The metabolism,decrease,Nateglinide,Felbamate
170163,170163,The metabolism,increase,Nateglinide,Dabrafenib
170164,170164,The metabolism,decrease,Nateglinide,Miconazole
170165,170165,The metabolism,decrease,Nateglinide,Gemfibrozil
170166,170166,The therapeutic efficacy,increase,Nateglinide,Ertugliflozin
